
 time | altitude |  velocity | accel_bias | alt (bmp) | vert_accel |
     7.9s     |523.2610m      | 0.0973m/s    | 0.0012m/s^2  | 522.9957m      | 0.0194m/s^2  |
     8.0s     |523.2639m      | 0.0982m/s    | 0.0013m/s^2  | 522.9806m      | 0.0127m/s^2  |
     8.1s     |523.2665m      | 0.0985m/s    | 0.0013m/s^2  | 522.9806m      | 0.0106m/s^2  |
     8.2s     |523.2691m      | 0.0985m/s    | 0.0014m/s^2  | 522.9806m      | 0.0130m/s^2  |
     8.3s     |523.2711m      | 0.0990m/s    | 0.0014m/s^2  | 522.9307m      | 0.0195m/s^2  |
     8.4s     |523.2725m      | 0.0994m/s    | 0.0015m/s^2  | 522.9454m      | 0.0098m/s^2  |
     8.5s     |523.2746m      | 0.0998m/s    | 0.0016m/s^2  | 522.9601m      | 0.0119m/s^2  |
     8.6s     |523.2767m      | 0.1002m/s    | 0.0016m/s^2  | 522.9601m      | 0.0198m/s^2  |
     8.7s     |523.2784m      | 0.1008m/s    | 0.0017m/s^2  | 522.9454m      | 0.0293m/s^2  |
     8.8s     |523.2786m      | 0.1026m/s    | 0.0018m/s^2  | 522.8855m      | 0.0280m/s^2  |
     8.9s     |523.2793m      | 0.1035m/s    | 0.0019m/s^2  | 522.9002m      | 0.0186m/s^2  |
     9.0s     |523.2804m      | 0.1038m/s    | 0.0019m/s^2  | 522.9002m      | 0.0166m/s^2  |
     9.1s     |523.2803m      | 0.1042m/s    | 0.0020m/s^2  | 522.8205m      | 0.0195m/s^2  |
     9.2s     |523.2795m      | 0.1045m/s    | 0.0021m/s^2  | 522.8352m      | 0.0154m/s^2  |
     9.3s     |523.2793m      | 0.1044m/s    | 0.0022m/s^2  | 522.8653m      | 0.0117m/s^2  |
     9.4s     |523.2795m      | 0.1049m/s    | 0.0023m/s^2  | 522.8801m      | 0.0213m/s^2  |
     9.5s     |523.2799m      | 0.1055m/s    | 0.0024m/s^2  | 522.8653m      | 0.0269m/s^2  |
     9.6s     |523.2795m      | 0.1061m/s    | 0.0024m/s^2  | 522.8301m      | 0.0121m/s^2  |
     9.7s     |523.2788m      | 0.1064m/s    | 0.0025m/s^2  | 522.8595m      | 0.0175m/s^2  |
     9.8s     |523.2789m      | 0.1070m/s    | 0.0026m/s^2  | 522.8746m      | 0.0207m/s^2  |
     9.9s     |523.2798m      | 0.1076m/s    | 0.0027m/s^2  | 522.8715m      | 0.0248m/s^2  |
    10.0s     |523.2805m      | 0.1081m/s    | 0.0028m/s^2  | 522.8866m      | 0.0202m/s^2  |
    10.1s     |523.2816m      | 0.1086m/s    | 0.0029m/s^2  | 522.9314m      | 0.0233m/s^2  |
