Tempo (ms)		Leitura
15700		1.356041
15725		1.136620
15750		1.409386
15775		1.335411
15800		1.395165
15825		1.341759
15850		1.013939
15875		0.815697
15900		0.979088
15925		1.272484
15950		0.939964
15975		1.156700
16000		1.335411
16025		1.213768
16050		1.260826
16075		1.094872
16100		1.201622
16125		1.219627
16150		1.273033
16175		1.308983
16200		1.447472
16225		1.481285
16250		1.067345
16275		1.180992
16300		1.254478
16325		1.412071
16350		1.168358
16375		1.388817
16400		1.219078
16425		1.219078
16450		1.234398
16475		1.328514
16500		1.347008
16525		1.258202
16550		1.293114
16575		1.344383
16600		1.323265
16625		1.287804
16650		1.287804
16675		1.254478
16700		1.383507
16725		1.123924
16750		1.240257
16775		1.210106
16800		1.213768
16825		1.347008
16850		1.329063
16875		1.377159
16900		1.418907
16925		1.347008
16950		1.159874
16975		1.076866
17000		1.188927
17025		1.655235
17050		1.388817
17075		1.358665
17100		1.442162
17125		1.365013
17150		1.403587
17175		1.596581
17200		1.501427
17225		1.388817
17250		1.397789
17275		1.323265
17300		1.412071
17325		1.507774
17350		1.477623
17375		1.449059
17400		1.409386
17425		1.587608
17450		1.350731
17475		1.685387
17500		1.463341
17525		1.373985
17550		1.626732
17575		1.745140
17600		1.775291
17625		1.537865
17650		1.765770
17675		1.685387
17700		1.620384
17725		1.656334
17750		1.631981
17775		1.487145
17800		1.692284
17825		1.581749
17850		1.552147
17875		1.603416
17900		1.516747
17925		1.617210
17950		1.665306
17975		1.631981
18000		1.864098
18025		1.903221
18050		2.013207
18075		1.790062
18100		1.710228
18125		1.736168
18150		1.790062
18175		1.680077
18200		1.680077
18225		1.974083
18250		1.945519
18275		1.855125
18300		1.721336
18325		1.810143
18350		1.885277
18375		1.826561
18400		1.989403
18425		1.914879
18450		2.182396
18475		2.153282
18500		2.033836
18525		2.268578
18550		1.980431
18575		2.138512
18600		2.069786
18625		2.301353
18650		2.470543
18675		2.134300
18700		2.104637
18725		2.001061
18750		2.271202
18775		2.078209
18800		2.090416
18825		2.182396
18850		2.215172
18875		2.211998
18900		2.551476
18925		1.941307
18950		2.033836
18975		2.260094
19000		2.200340
19025		2.141136
19050		2.426109
19075		2.491173
19100		2.274925
19125		2.337303
19150		2.485863
19175		2.397057
19200		2.541954
19225		2.432457
19250		2.381737
19275		2.006859
19300		2.099937
19325		2.357933
19350		2.268578
19375		2.169701
19400		2.209374
19425		2.321434
19450		2.381737
19475		2.220970
19500		2.137474
19525		2.125816
19550		2.360069
19575		1.976707
19600		2.295006
19625		2.003136
19650		2.345787
19675		2.206200
19700		2.301353
19725		2.211998
19750		2.318810
19775		2.303978
19800		2.511803
19825		2.467369
19850		2.446251
19875		2.429283
19900		2.399681
19925		2.565758
19950		2.407616
19975		2.343102
20000		2.253258
20025		2.176048
20050		2.271202
20075		2.425621
20100		2.463707
20125		2.271202
20150		2.425621
20175		2.654015
20200		2.811607
20225		2.711693
20250		2.309288
20275		2.640282
20300		2.453087
20325		2.562584
20350		2.430870
20375		2.556725
20400		2.710594
20425		2.422997
20450		2.673058
20475		2.716942
20500		2.303978
20525		2.577354
20550		2.567833
20575		2.493797
20600		2.339439
20625		2.420311
20650		2.541954
20675		2.583153
20700		2.746544
20725		2.651390
20750		2.532433
20775		2.792015
20800		2.567833
20825		2.797874
20850		2.732262
20875		2.940086
20900		2.805809
20925		2.775658
20950		2.830101
20975		2.884056
21000		2.758751
21025		2.734947
21050		2.761925
21075		2.624413
21100		2.684166
21125		2.970238
21150		3.017845
21175		3.089195
21200		3.089195
21225		3.097130
21250		2.987694
21275		3.157433
21300		2.898827
21325		3.106651
21350		3.231468
21375		2.924767
21400		3.207665
21425		3.147911
21450		3.091881
21475		3.106651
21500		3.104027
21525		3.089195
21550		2.866051
21575		2.868736
21600		3.270592
21625		3.014671
21650		3.017845
21675		3.091881
21700		3.061729
21725		3.439293
21750		3.558250
21775		3.266869
21800		3.240990
21825		3.375267
21850		2.972862
21875		3.255760
21900		3.129906
21925		3.335594
21950		3.371056
21975		3.284874
22000		3.403832
22025		3.371056
22050		3.433983
22075		3.394859
22100		3.355736
22125		3.206566
22150		2.949059
22175		3.192833
22200		2.990868
22225		2.940086
22250		2.851280
22275		3.124657
22300		3.139977
22325		3.124657
22350		3.353050
22375		3.288048
22400		3.192833
22425		3.163231
22450		3.043724
22475		3.175377
22500		3.302330
22525		3.239403
22550		3.147911
22575		3.424461
22600		3.430260
22625		3.325584
22650		3.355736
22675		3.362083
22700		3.266869
22725		3.327171
22750		3.325584
22775		3.171715
22800		3.206566
22825		3.246239
22850		3.403832
22875		3.469383
22900		3.490013
22925		3.389549
22950		3.459862
22975		3.380028
23000		3.276390
23025		3.180687
23050		3.106651
23075		3.401207
23100		3.415978
23125		3.325584
23150		3.282188
23175		3.347801
23200		3.213463
23225		3.353050
23250		3.249413
23275		3.317650
23300		3.213463
23325		3.555626
23350		3.421288
23375		3.466759
23400		3.606346
23425		3.109825
23450		3.436607
23475		3.541344
23500		3.641808
23525		3.392723
23550		3.496910
23575		3.537621
23600		3.463036
23625		3.451439
23650		3.516441
23675		3.507469
23700		3.679894
23725		3.787743
23750		3.697838
23775		3.609032
23800		3.679894
23825		3.906761
23850		3.719017
23875		3.609032
23900		3.674583
23925		3.704735
23950		3.807823
23975		3.734337
24000		3.600548
24025		3.674583
24050		3.897728
24075		3.906761
24100		3.793541
24125		4.016747
24150		3.951134
24175		3.653954
24200		3.778770
24225		3.867577
24250		3.772911
24275		3.769249
24300		3.859154
24325		3.588402
24350		3.918358
24375		3.811546
24400		3.751244
24425		3.602684
24450		3.888207
24475		3.891380
24500		3.935814
24525		4.212425
24550		3.983971
24575		3.939537
24600		3.814171
24625		4.040001
24650		3.849632
24675		4.132530
24700		3.983971
24725		4.019371
24750		4.147362
24775		4.171165
24800		3.915184
24825		3.944786
24850		3.784569
24875		3.766075
24900		3.862328
24925		4.075401
24950		4.111900
24975		4.021996
25000		4.019371
25025		4.021996
25050		4.067467
25075		4.126183
25100		4.093407
25125		4.382164
25150		4.379540
25175		4.275353
25200		4.156334
25225		4.259972
25250		3.948509
25275		4.259972
25300		4.412315
25325		4.236717
25350		4.212425
25375		4.583641
25400		4.483177
25425		4.123558
25450		4.364159
25475		4.149986
25500		4.111900
25525		4.307579
25550		4.531273
25575		4.427086
25600		4.322899
25625		4.357811
25650		4.581505
25675		4.247826
25700		4.536583
25725		4.372643
25750		4.180687
25775		4.394310
25800		4.503807
25825		4.340355
25850		4.269005
25875		4.250450
25900		4.373192
25925		4.468346
25950		4.215050
25975		4.001366
26000		4.141014
26025		3.933189
26050		3.956444
26075		4.180138
26100		3.956444
26125		4.120934
26150		3.968590
26175		4.096031
26200		3.971764
26225		4.215050
26250		4.110863
26275		4.037376
26300		4.186485
26325		4.251549
26350		4.207115
26375		4.320274
26400		4.356224
26425		4.394310
26450		4.141014
26475		4.340904
26500		4.379540
26525		4.290123
26550		4.058495
26575		4.072777
26600		3.993431
26625		4.242516
26650		4.082298
26675		4.290123
26700		4.082298
26725		4.171165
26750		4.011436
26775		4.270042
26800		4.198143
26825		4.337730
26850		4.257347
26875		4.367882
26900		4.277977
26925		4.427086
26950		4.198143
26975		4.281700
27000		4.100304
27025		4.040001
27050		4.513329
27075		4.147850
27100		4.201317
27125		4.180687
27150		4.014061
27175		3.954308
27200		3.883446
27225		3.918907
27250		3.987083
27275		3.814720
27300		4.084923
27325		3.948509
27350		3.922081
27375		3.891930
27400		3.907249
27425		3.996117
27450		4.067467
27475		4.067467
27500		4.046898
27525		3.942711
27550		3.984459
27575		4.014061
27600		3.785606
27625		3.970177
27650		3.895103
27675		4.459923
27700		4.028893
27725		4.008263
27750		3.752831
27775		3.841698
27800		3.895103
27825		3.767113
27850		3.918907
27875		3.859154
27900		3.865990
27925		3.821068
27950		3.673546
27975		3.613243
28000		3.782982
28025		3.877098
28050		3.725365
28075		3.922081
28100		3.805748
28125		3.945335
28150		4.064293
28175		4.079674
28200		3.881371
28225		3.788292
28250		3.491112
28275		3.499535
28300		3.871849
28325		3.805748
28350		3.830589
28375		3.681480
28400		3.770287
28425		3.655540
28450		3.788292
28475		3.779259
28500		3.839073
28525		3.985008
28550		3.607445
28575		3.693626
28600		3.868675
28625		3.972862
28650		4.032616
28675		3.716881
28700		3.735374
28725		3.693626
28750		3.883995
28775		3.622765
28800		3.622765
28825		3.807335
28850		3.835899
28875		3.881371
28900		3.822655
28925		3.842735
28950		3.848534
28975		3.788780
29000		3.759728
29025		3.865990
29050		3.812584
29075		3.812584
29100		4.124596
29125		3.923119
29150		3.967552
29175		3.827965
29200		3.695213
29225		3.878685
29250		3.486351
29275		3.292809
29300		3.260033
29325		2.933189
29350		3.055382
29375		2.835899
29400		2.776695
29425		2.752403
29450		2.945396
29475		3.094505
29500		3.454613
29525		3.049522
29550		3.185997
29575		3.831139
29600		3.587853
29625		3.227745
29650		3.492699
29675		3.064354
